Essai;Temps_frame;Pixel_par_seconde
223;0.047050;9.363000;1632297340.596038
224;0.077437;15.410000;991771576.898080
225;0.045960;9.146000;1671025584.955113
226;0.079166;15.754000;970115526.215493
227;0.041121;8.183000;1867676891.115868
228;0.051859;10.320000;1480930232.557678
229;0.047608;9.474000;1613172894.237089
230;0.023111;4.599000;3323157208.087898
231;0.046492;9.252000;1651880674.449395
232;0.040608;8.081000;1891251082.787042
233;0.042136;8.385000;1822683363.148171
234;0.021749;4.328000;3531238447.319689
235;0.033236;6.614000;2310734804.959213
236;0.042422;8.442000;1810376687.988520
237;0.027568;5.486000;2785854903.390059
238;0.031010;6.171000;2476616431.697121
239;0.000231;0.046000;332243478262.541992
240;0.034221;6.810000;2244229074.889069
241;0.017759;3.534000;4324617996.605864
242;0.061950;12.328000;1239714471.122636
243;0.020608;4.101000;3726700804.683884
244;0.040693;8.098000;1887280810.076576
245;0.027623;5.497000;2780280152.809009
246;0.014729;2.931000;5214329580.346788
247;0.020171;4.014000;3807473841.552699
248;0.031357;6.240000;2449230769.231980
249;0.055799;11.104000;1376368876.080801
250;0.055960;11.136000;1372413793.103554
251;0.006382;1.270000;12034015748.019987
252;0.023950;4.766000;3206714225.766706
253;0.000000;0.000000;inf
254;0.036412;7.246000;2109191277.946364
255;0.050191;9.988000;1530156187.425063
256;0.033940;6.754000;2262836837.429696
257;0.035422;7.049000;2168137324.442953
258;0.031231;6.215000;2459082864.038759
259;0.014000;2.786000;5485714285.720495
260;0.058774;11.696000;1306703146.374713
261;0.042839;8.525000;1792750733.138273
262;0.036563;7.276000;2100494777.351073
263;0.043970;8.750000;1746651428.571421
264;0.027508;5.474000;2791962002.190833
265;0.052327;10.413000;1467703831.748869
266;0.088437;17.599000;868412978.010151
267;0.073668;14.660000;1042510231.923341
268;0.052131;10.374000;1473221515.326890
269;0.038799;7.721000;1979432715.969867
270;0.024482;4.872000;3136945812.805459
271;0.036543;7.272000;2101650165.015876
272;0.038181;7.598000;2011476704.395249
273;0.040719;8.103000;1886116253.240116
274;0.020889;4.157000;3676497474.140231
275;0.046442;9.242000;1653668037.220829
276;0.043678;8.692000;1758306488.725550
277;0.038940;7.749000;1972280294.231173
278;0.037678;7.498000;2038303547.611005
279;0.030467;6.063000;2520732310.737381
280;0.025231;5.021000;3043855805.616580
281;0.056764;11.296000;1352974504.248577
282;0.038387;7.639000;2000680717.371106
283;0.062749;12.487000;1223928886.041296
